"","x"
"1",254
"2",253.092989113371
"3",255.259961911173
"4",255.160210411489
"5",257.421501630561
"6",259.165859826339
"7",259.900670349562
"8",262.350560976535
"9",261.170108077862
"10",262.022814734815
"11",263.153508067744
"12",267.601943327321
"13",267.201124612457
"14",265.827597340883
"15",267.835891698163
"16",266.202024663838
"17",266.010201930794
"18",266.942486256232
"19",266.486713393006
"20",266.460408738646
"21",265.762000550765
"22",263.942913041745
"23",262.105036159085
"24",263.400219765998
"25",266.514264635302
"26",266.279710207997
"27",265.089653582589
"28",269.947700143574
"29",269.260763994183
"30",271.064171349006
"31",273.923667003823
"32",272.769745891302
"33",271.421125012392
"34",269.83237179887
"35",268.631306519158
"36",268.643733678428
"37",267.902962493037
"38",267.165122037647
"39",267.113223610137
"40",265.88523840395
"41",266.43554886471
"42",264.648454262807
"43",264.478205245071
"44",263.553160413506
"45",263.477947342615
"46",264.949465937455
"47",270.088432370052
"48",272.244789172138
"49",271.084117015664
"50",269.599499392856
"51",272.271297284877
"52",271.572570597771
"53",272.249880212272
"54",273.230026203306
"55",271.589933867235
"56",270.031632047223
"57",270.032366067099
"58",269.398338911719
"59",270.641722905467
"60",270.373643664726
"61",270.283532583114
"62",269.003241829922
"63",270.720500775363
"64",271.035867010149
"65",269.270454520518
"66",271.308970356071
"67",274.041727136532
"68",273.443762200237
"69",271.471087339503
"70",270.659460584602
"71",275.125515195778
"72",273.638669625948
"73",272.263854382459
"74",271.195825969663
"75",269.9022386977
"76",269.608223744834
"77",270.818027595537
"78",269.785376016058
"79",272.48483182926
"80",276.299910420588
"81",274.435437432255
"82",274.82972662591
"83",273.690212503146
"84",271.966787974279
"85",269.974156597505
"86",272.690809622112
"87",271.160712632056
"88",269.721151048
"89",268.156950283472
"90",268.753319255097
"91",266.982963220371
"92",268.74772936151
"93",267.340184284833
"94",265.474611714347
"95",266.336105966777
"96",266.72414289614
"97",266.122793773704
"98",268.960272822627
"99",268.389506017333
"100",267.594700137427
