"","x"
"1",14.5436323944402
"2",10.6111455915768
"3",11.9098030125693
"4",13.0216093722622
"5",12.0117817977982
"6",11.5048587740888
"7",15.975998580172
"8",9.68044262003455
"9",11.4770035304064
"10",11.3026806846177
"11",13.5463888406137
"12",9.59413271176541
"13",15.9442897102687
"14",11.4317250984148
"15",11.8871565137365
"16",11.8842456940772
"17",14.623596815835
"18",10.9248574234693
"19",14.2266680647828
"20",12.5322939350794
"21",12.1717463955746
"22",13.1429168805344
"23",15.4647740365315
"24",11.7475761087188
"25",10.5561495410555
"26",13.9378620042622
"27",11.0897207046534
"28",12.8027532524539
"29",12.364510730196
"30",14.3337289458811
"31",8.24161336072401
"32",14.3669236601536
"33",8.75464431336991
"34",12.0799802504974
"35",13.2250755440842
"36",15.10804103601
"37",8.54078609095139
"38",14.1663907468852
"39",10.8713942709121
"40",13.48849592769
"41",13.5155710850124
"42",13.6376550641856
"43",11.5419159107633
"44",11.2496940460461
"45",12.8614443461378
"46",11.0868856132847
"47",13.1764002075078
"48",13.2856409158444
"49",12.7946249584745
"50",11.0310166933995
"51",15.820533790168
"52",9.86458539738913
"53",11.1498241557352
"54",12.0771264204397
"55",14.3721235393481
"56",8.85164987680824
"57",16.7011810301957
"58",12.3054513686083
"59",12.8866572613745
"60",12.2524960724081
"61",14.0197071244116
"62",10.6614583414994
"63",13.6325687782157
"64",13.8347507169777
"65",11.9969224405817
"66",13.6418894541218
"67",15.85324449973
"68",12.1346130192661
"69",11.4323476205314
"70",15.7005751471818
"71",12.9540845881732
"72",13.6780086460078
"73",14.3433475025368
"74",13.7798941355942
"75",9.64533160944632
"76",17.2383523544793
"77",9.75775133257326
"78",13.8000316546936
"79",11.3645499228238
"80",16.6219282703094
"81",9.26592930364255
"82",16.5228455903266
"83",13.3337563143547
"84",11.5648888106264
"85",13.2211565157111
"86",16.0014827753322
"87",9.0433421031209
"88",14.7272782483247
"89",14.9012047532342
"90",11.1114671657286
"91",13.9541017743847
"92",13.9162723079269
"93",12.6259630948074
"94",11.3294705701827
"95",16.5668358425406
"96",9.6393449041985
"97",15.6820941659744
"98",14.5414417991719
"99",13.1986499648115
"100",9.40146492068559
"101",18.0917219554719
"102",11.5191239641826
"103",12.7691348771345
"104",14.5516196500416
"105",14.366540700342
"106",9.9059363455022
"107",16.9674933744083
"108",13.3495228588274
"109",10.5032191610477
"110",14.4005181791947
"111",14.6472624311121
"112",11.1553298252704
"113",10.9120815158241
"114",16.2284376268562
"115",12.6302797129148
"116",14.410950176815
"117",12.4447075003171
"118",15.8046704521558
"119",9.65284959864698
"120",16.8493771214408
"121",10.5611967675824
"122",13.5537975359299
"123",14.2959384041722
"124",16.5721049535642
"125",11.902965651985
"126",16.2494938716472
"127",11.3319437363876
"128",13.2275981832147
"129",12.1434604149289
"130",15.8294782493286
"131",11.0128298917714
"132",14.3620006531178
"133",14.4400075661036
"134",11.0992658251266
"135",14.14498393785
"136",14.2273994678532
"137",13.9308832547087
"138",10.4345245081859
"139",16.0845721362062
"140",10.4149850283469
"141",14.0787821848766
"142",14.7350078693953
"143",14.3080151791133
"144",9.37875709703319
"145",17.4886704454206
"146",11.7257398267253
"147",14.2028233583247
"148",10.7908938466207
"149",14.6865338894196
"150",10.7731501974891
"151",16.1781049793965
"152",15.0991077261447
"153",10.7276778606734
"154",12.5621786823361
"155",13.8770050521533
"156",12.1987661513451
"157",13.1113614645182
"158",15.9607033770287
"159",12.5518665983457
"160",14.5327678891426
"161",15.3290265511491
"162",16.4399599665909
"163",11.290154288704
"164",17.5074175408236
"165",12.1554983461841
"166",14.6616752119534
"167",13.3554601534381
"168",16.2177286515852
"169",9.56968435833851
"170",16.9227793245624
"171",14.4502782226187
"172",12.2968910613139
"173",12.6678573797603
"174",16.2223001325912
"175",11.0068229728404
"176",14.2709891287753
"177",14.9700084571163
"178",13.6020853948249
"179",14.6541499122894
"180",15.5356987125694
"181",13.6219884876166
"182",12.9399161017308
"183",19.1725201788963
"184",11.7557877459414
"185",13.2871348571975
"186",14.6627612508673
"187",16.3256136824802
